layer,process,target,comparison,plus_family,base_family,r2_plus,r2_base,delta_r2
A_raw_uptake,methane_storage_psa,CH4_5.8bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.3099348867981439,0.29511432135866594,0.014820565439477962
A_raw_uptake,methane_storage_psa,CH4_65bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.9561522006091877,0.9495509297195468,0.006601270889640909
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.015bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.07113916316209343,0.06077156581906887,0.01036759734302456
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.15bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.2870799537463059,0.27096906131728116,0.016110892429024748
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.075bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.05568143958668153,0.047625976841697074,0.008055462744984455
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.75bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.3283726173764123,0.3316187234780751,-0.00324610610166276
A_raw_uptake,pre_combustion_psa,precomb_CO2_0.4bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.30935421377119177,0.2893882814429511,0.019965932328240676
A_raw_uptake,pre_combustion_psa,precomb_CO2_16bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.7871538952013066,0.7695245197077232,0.017629375493583455
A_raw_uptake,pre_combustion_psa,precomb_H2_0.6bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.9028077979976808,0.905096589700745,-0.0022887917030641747
A_raw_uptake,pre_combustion_psa,precomb_H2_24bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.9802331387648313,0.9717050856995371,0.00852805306529425
A_raw_uptake,natural_gas_purification,ngp_CH4_0.9bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.22477238211297854,0.21432185270473791,0.010450529408240622
A_raw_uptake,natural_gas_purification,ngp_CH4_9.0bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.6231348431781717,0.6095769551784396,0.013557887999732121
A_raw_uptake,natural_gas_purification,ngp_CO2_0.1bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.2495335855377136,0.22885508088448892,0.020678504653224683
A_raw_uptake,natural_gas_purification,ngp_CO2_1.0bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.25952379193831576,0.25401083855676676,0.005512953381549002
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_0.01bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.029365915940122923,0.016897147445942572,0.012468768494180351
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_4.4bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.5569073468274911,0.5435284339329228,0.013378912894568273
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_0.26bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.18823069391134245,0.16604023697915615,0.022190456932186298
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_3.2bar,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.2972415462301082,0.2879853030833166,0.009256243146791576
B_working_capacity,methane_storage_psa,methane_storage_working_capacity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.9748386746506857,0.9706852046537706,0.004153469996915127
B_working_capacity,post_combustion_vsa,postcomb_working_capacity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.31913998272685273,0.2988845012883538,0.020255481438498923
B_working_capacity,pre_combustion_psa,precomb_working_capacity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.8370157001283279,0.8230982082861381,0.013917491842189822
B_working_capacity,natural_gas_purification,ngp_working_capacity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.36452945382434687,0.352499218107165,0.01203023571718187
B_working_capacity,landfill_gas_vpsa,landfill_working_capacity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.41210122087201223,0.39908033371307466,0.013020887158937566
C_direct_log_selectivity,post_combustion_vsa,postcomb_log_selectivity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.6702823593388898,0.6725962268110653,-0.002313867472175546
C_direct_log_selectivity,pre_combustion_psa,precomb_log_selectivity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.8405880124300247,0.8263709396758063,0.014217072754218352
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.49723831096878224,0.48420304752797994,0.013035263440802303
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,enriched_interpretable - geometry_only,enriched_interpretable,geometry_only,0.5212324860828655,0.504337716570788,0.01689476951207758
A_raw_uptake,methane_storage_psa,CH4_5.8bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.23720129551733427,0.3099348867981439,-0.07273359128080964
A_raw_uptake,methane_storage_psa,CH4_65bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.9518235192845718,0.9561522006091877,-0.004328681324615946
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.015bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,-0.034990424135830034,0.07113916316209343,-0.10612958729792346
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.15bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.3415973127104269,0.2870799537463059,0.05451735896412102
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.075bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.15642451596966483,0.05568143958668153,0.1007430763829833
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.75bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.4578215610097874,0.3283726173764123,0.12944894363337506
A_raw_uptake,pre_combustion_psa,precomb_CO2_0.4bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.38487213561983036,0.30935421377119177,0.07551792184863859
A_raw_uptake,pre_combustion_psa,precomb_CO2_16bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.7913955873539192,0.7871538952013066,0.004241692152612608
A_raw_uptake,pre_combustion_psa,precomb_H2_0.6bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.8960984296637825,0.9028077979976808,-0.006709368333898347
A_raw_uptake,pre_combustion_psa,precomb_H2_24bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.9804302489288967,0.9802331387648313,0.00019711016406542825
A_raw_uptake,natural_gas_purification,ngp_CH4_0.9bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.2537450128848562,0.22477238211297854,0.028972630771877644
A_raw_uptake,natural_gas_purification,ngp_CH4_9.0bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.5008489208427822,0.6231348431781717,-0.12228592233538949
A_raw_uptake,natural_gas_purification,ngp_CO2_0.1bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.20843403121672446,0.2495335855377136,-0.041099554320989135
A_raw_uptake,natural_gas_purification,ngp_CO2_1.0bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.2758161986687497,0.25952379193831576,0.016292406730433917
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_0.01bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.07558821878647697,0.029365915940122923,0.04622230284635404
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_4.4bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.4408398147464278,0.5569073468274911,-0.1160675320810633
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_0.26bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.17948155870656424,0.18823069391134245,-0.008749135204778213
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_3.2bar,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.38867240009503023,0.2972415462301082,0.09143085386492206
B_working_capacity,methane_storage_psa,methane_storage_working_capacity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.9731684208329863,0.9748386746506857,-0.0016702538176994741
B_working_capacity,post_combustion_vsa,postcomb_working_capacity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.41080222255044785,0.31913998272685273,0.09166223982359512
B_working_capacity,pre_combustion_psa,precomb_working_capacity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.8214623402363862,0.8370157001283279,-0.015553359891941732
B_working_capacity,natural_gas_purification,ngp_working_capacity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.41654579630273436,0.36452945382434687,0.05201634247838749
B_working_capacity,landfill_gas_vpsa,landfill_working_capacity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.4648176740864058,0.41210122087201223,0.052716453214393555
C_direct_log_selectivity,post_combustion_vsa,postcomb_log_selectivity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.7049567681519564,0.6702823593388898,0.034674408813066604
C_direct_log_selectivity,pre_combustion_psa,precomb_log_selectivity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.8484264537860956,0.8405880124300247,0.007838441356070924
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.4611012958348134,0.49723831096878224,-0.03613701513396883
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,geometry_plus_topology - enriched_interpretable,geometry_plus_topology,enriched_interpretable,0.48730331815694433,0.5212324860828655,-0.03392916792592121
A_raw_uptake,methane_storage_psa,CH4_5.8bar,rac_only - geometry_only,rac_only,geometry_only,0.01459083017872713,0.29511432135866594,-0.2805234911799388
A_raw_uptake,methane_storage_psa,CH4_65bar,rac_only - geometry_only,rac_only,geometry_only,-0.07176682287846337,0.9495509297195468,-1.0213177525980102
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.015bar,rac_only - geometry_only,rac_only,geometry_only,-1.298720405151463,0.06077156581906887,-1.3594919709705318
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.15bar,rac_only - geometry_only,rac_only,geometry_only,-0.9332676429083215,0.27096906131728116,-1.2042367042256026
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.075bar,rac_only - geometry_only,rac_only,geometry_only,-0.14843416720531719,0.047625976841697074,-0.19606014404701427
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.75bar,rac_only - geometry_only,rac_only,geometry_only,0.04159096005729501,0.3316187234780751,-0.29002776342078007
A_raw_uptake,pre_combustion_psa,precomb_CO2_0.4bar,rac_only - geometry_only,rac_only,geometry_only,-0.7742758691974574,0.2893882814429511,-1.0636641506404085
A_raw_uptake,pre_combustion_psa,precomb_CO2_16bar,rac_only - geometry_only,rac_only,geometry_only,-0.37598755985657767,0.7695245197077232,-1.1455120795643008
A_raw_uptake,pre_combustion_psa,precomb_H2_0.6bar,rac_only - geometry_only,rac_only,geometry_only,0.06423483537905206,0.905096589700745,-0.840861754321693
A_raw_uptake,pre_combustion_psa,precomb_H2_24bar,rac_only - geometry_only,rac_only,geometry_only,-1.3150804510401841,0.9717050856995371,-2.286785536739721
A_raw_uptake,natural_gas_purification,ngp_CH4_0.9bar,rac_only - geometry_only,rac_only,geometry_only,-0.21315045404252386,0.21432185270473791,-0.4274723067472618
A_raw_uptake,natural_gas_purification,ngp_CH4_9.0bar,rac_only - geometry_only,rac_only,geometry_only,-0.21112685697565198,0.6095769551784396,-0.8207038121540915
A_raw_uptake,natural_gas_purification,ngp_CO2_0.1bar,rac_only - geometry_only,rac_only,geometry_only,-0.6473109560630681,0.22885508088448892,-0.876166036947557
A_raw_uptake,natural_gas_purification,ngp_CO2_1.0bar,rac_only - geometry_only,rac_only,geometry_only,0.08593122126605401,0.25401083855676676,-0.16807961729071275
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_0.01bar,rac_only - geometry_only,rac_only,geometry_only,-0.36646572346910505,0.016897147445942572,-0.3833628709150476
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_4.4bar,rac_only - geometry_only,rac_only,geometry_only,-0.17892174899622082,0.5435284339329228,-0.7224501829291436
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_0.26bar,rac_only - geometry_only,rac_only,geometry_only,-1.0280663533730916,0.16604023697915615,-1.1941065903522476
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_3.2bar,rac_only - geometry_only,rac_only,geometry_only,0.057302173875437,0.2879853030833166,-0.2306831292078796
B_working_capacity,methane_storage_psa,methane_storage_working_capacity,rac_only - geometry_only,rac_only,geometry_only,-0.13278689090297305,0.9706852046537706,-1.1034720955567436
B_working_capacity,post_combustion_vsa,postcomb_working_capacity,rac_only - geometry_only,rac_only,geometry_only,-0.772923829925805,0.2988845012883538,-1.0718083312141589
B_working_capacity,pre_combustion_psa,precomb_working_capacity,rac_only - geometry_only,rac_only,geometry_only,-0.43078399805990997,0.8230982082861381,-1.2538822063460482
B_working_capacity,natural_gas_purification,ngp_working_capacity,rac_only - geometry_only,rac_only,geometry_only,-0.1314359892550322,0.352499218107165,-0.4839352073621972
B_working_capacity,landfill_gas_vpsa,landfill_working_capacity,rac_only - geometry_only,rac_only,geometry_only,-0.1158399813372215,0.39908033371307466,-0.5149203150502961
C_direct_log_selectivity,post_combustion_vsa,postcomb_log_selectivity,rac_only - geometry_only,rac_only,geometry_only,-0.32995992807488295,0.6725962268110653,-1.0025561548859483
C_direct_log_selectivity,pre_combustion_psa,precomb_log_selectivity,rac_only - geometry_only,rac_only,geometry_only,-0.8521787986364014,0.8263709396758063,-1.6785497383122077
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,rac_only - geometry_only,rac_only,geometry_only,-0.055499044162396996,0.48420304752797994,-0.539702091690377
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,rac_only - geometry_only,rac_only,geometry_only,-0.2016834499091983,0.504337716570788,-0.7060211664799863
A_raw_uptake,methane_storage_psa,CH4_5.8bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6938872952905102,0.3099348867981439,0.3839524084923663
A_raw_uptake,methane_storage_psa,CH4_65bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9751937643767082,0.9561522006091877,0.01904156376752053
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.015bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,-0.025477440339124524,0.07113916316209343,-0.09661660350121795
A_raw_uptake,post_combustion_vsa,postcomb_CO2_0.15bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5052667010251307,0.2870799537463059,0.2181867472788248
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.075bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,-0.3139654152066338,0.05568143958668153,-0.3696468547933153
A_raw_uptake,post_combustion_vsa,postcomb_N2_0.75bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.575553760036604,0.3283726173764123,0.24718114266019164
A_raw_uptake,pre_combustion_psa,precomb_CO2_0.4bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5237789088254842,0.30935421377119177,0.2144246950542924
A_raw_uptake,pre_combustion_psa,precomb_CO2_16bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.8940910759157572,0.7871538952013066,0.10693718071445057
A_raw_uptake,pre_combustion_psa,precomb_H2_0.6bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9096664949955114,0.9028077979976808,0.006858696997830593
A_raw_uptake,pre_combustion_psa,precomb_H2_24bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9866312842342734,0.9802331387648313,0.0063981454694420625
A_raw_uptake,natural_gas_purification,ngp_CH4_0.9bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6158336919259653,0.22477238211297854,0.3910613098129867
A_raw_uptake,natural_gas_purification,ngp_CH4_9.0bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.7262076008382401,0.6231348431781717,0.1030727576600684
A_raw_uptake,natural_gas_purification,ngp_CO2_0.1bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.41143034846563453,0.2495335855377136,0.16189676292792093
A_raw_uptake,natural_gas_purification,ngp_CO2_1.0bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5660702395793833,0.25952379193831576,0.30654644764106753
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_0.01bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5186165993516821,0.029365915940122923,0.4892506834115592
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_4.4bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.7113443762594005,0.5569073468274911,0.1544370294319094
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_0.26bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.36383987047962885,0.18823069391134245,0.1756091765682864
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_3.2bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6436703953495271,0.2972415462301082,0.3464288491194189
B_working_capacity,methane_storage_psa,methane_storage_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9846260197239425,0.9748386746506857,0.009787345073256737
B_working_capacity,post_combustion_vsa,postcomb_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.4802934950911467,0.31913998272685273,0.16115351236429398
B_working_capacity,pre_combustion_psa,precomb_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9105375226830754,0.8370157001283279,0.07352182255474748
B_working_capacity,natural_gas_purification,ngp_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.611698357136819,0.36452945382434687,0.2471689033124721
B_working_capacity,landfill_gas_vpsa,landfill_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6996408611155338,0.41210122087201223,0.2875396402435216
C_direct_log_selectivity,post_combustion_vsa,postcomb_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.7935382246176348,0.6702823593388898,0.12325586527874499
C_direct_log_selectivity,pre_combustion_psa,precomb_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.8886708164739814,0.8405880124300247,0.048082804043956706
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6678309676368774,0.49723831096878224,0.1705926566680952
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6607574071339422,0.5212324860828655,0.1395249210510766
